Type,Onset,Duration
Opto2,610.500,0.250
Opto2,612.500,0.250
Opto2,613.000,439.500
Opto2,1054.000,0.250
Opto2,1054.500,1.250
Opto2,1892.750,0.250
Opto2,1893.500,0.250
Opto2,1894.750,0.500
Opto2,1895.500,0.250
Opto2,1896.000,0.750
Opto2,1897.000,0.500
Opto2,1897.750,739.750
Opto2,2637.750,1.000
Opto2,2639.000,0.250
Opto2,2640.000,0.750
Opto2,2641.750,0.750
Opto2,2642.750,0.500
Opto2,3392.500,0.250
Opto2,3393.250,0.250
Opto2,3394.750,0.250
Opto2,3395.250,0.250
Opto2,3396.000,499.250
Opto2,3895.500,1.000
Opto2,3896.750,0.250
Opto2,4584.500,0.250
Opto2,4585.000,0.750
Opto2,4586.000,0.500
Opto2,4586.750,482.750
Opto2,5070.500,0.250
Opto2,5071.000,0.250
Opto2,5775.500,0.750
Opto2,5776.500,0.250
Opto2,5777.500,0.500
Opto2,5778.250,513.500
Opto2,6292.000,0.250
Opto2,6292.500,0.250
Opto2,7009.000,0.500
Opto2,7010.250,437.250
Opto2,7447.750,0.500
Opto2,8199.750,0.500
Opto2,8200.500,387.000
Opto2,8587.750,2.000
Opto2,8591.000,0.250
Opto2,9673.750,0.750
Opto2,9675.250,0.250
Opto2,9676.500,0.250
Opto2,9677.250,375.500
Opto2,10053.000,0.500
Opto2,10053.750,0.500
Opto2,10054.500,0.500
Opto2,10055.750,0.500
Opto2,10961.500,0.750
Opto2,10963.250,0.250
Opto2,10964.000,0.750
Opto2,10965.000,0.250
Opto2,10965.500,443.250
Opto2,11409.000,0.500
Opto2,11410.000,0.250
Opto2,11410.500,0.250
Opto2,11411.250,0.250
Opto2,11411.750,0.500
Opto2,11412.750,0.750
